community,type,tagline,icon,rent_min,rent_max,lifestyle_score,family_rating,school_options,best_for
Yas Island,Mixed Use Island,Entertainment & Lifestyle Hub,🏎️,65000,160000,5,5,"Yas School, GEMS World Academy","Families, Young Professionals, Entertainment Lovers"
Saadiyat Island,Luxury Island,Culture & Luxury Beachfront,🎨,120000,280000,5,4,"SABIS International, Cranleigh","High-net-worth individuals, Culture seekers"
Al Reem Island,Urban Island,Urban City Living,🏙️,55000,110000,4,4,"Reem International Charter, Brighton College","Young professionals, Families, City dwellers"
Al Raha Beach,Waterfront,Waterfront Family Paradise,⛵,85000,170000,5,5,"Al Raha International School, GEMS","Families, Outdoors lovers, Water sports enthusiasts"
Khalifa City,Suburban,Premier Family Suburb,🏡,110000,135000,4,5,"ADIS, American Community School, GEMS","Families with school-age children"
Mohammed Bin Zayed City,Suburban,Spacious Residential Community,🏘️,90000,110000,3,4,"Ibn Khaldun, Al Andalus","Families seeking space, Budget-conscious"
Al Reef,Resort Community,Affordable Resort Living,🌴,50000,75000,3,4,"Al Reef International Academy","Young families, Budget-conscious, Active lifestyle"
Masdar City,Smart City,Smart Eco-Friendly Living,♻️,45000,65000,3,3,"Masdar Institute schools","Tech professionals, Eco-conscious residents"
Al Maryah Island,Business District,Financial District Hub,💼,75000,75000,5,4,"Central School, City School","Finance professionals, Singles, Couples"
Corniche Area,Seafront,Premium Seafront Living,🌊,130000,130000,5,4,"Various international schools nearby","Luxury seekers, Professionals, Couples"
Al Bateen,Prestigious,Prestigious Embassy District,🏛️,160000,160000,4,4,"Al Bateen Academy, ADIS","Diplomats, Senior executives, Long-term expats"
Al Mushrif,Family Area,Family & Schools Proximity,🎓,130000,130000,4,5,"ADIS, Al Mushrif Schools, Lycée Louis Massignon","Families, especially French-speaking expats"
Al Shamkha,Suburban,Modern Affordable Villas,🏠,80000,80000,3,4,"New community schools","Budget-conscious families, Space seekers"
Al Bahia,Emerging Area,Emerging Sea View Community,🌅,70000,70000,3,4,"Nearby schools","Beachside living seekers, Budget-conscious"
