name,category,location,area,description,entry_fee_aed,opening_hours,family_friendly,rating,tags
Sheikh Zayed Grand Mosque,mosque,Sheikh Zayed Street,Corniche Area,"One of the world's largest mosques — 82 domes, 1000+ columns, and the world's largest hand-knotted carpet",0,"9AM–10PM (Closed Fri morning)",1,4.9,"iconic,religious,architecture,free"
Louvre Abu Dhabi,museum,Saadiyat Island,Saadiyat Island,"World-class art and civilization museum under a stunning geometric dome designed by Jean Nouvel",63,"10AM–8PM (Fri 10AM–9PM)",1,4.7,"art,culture,museum,world-class"
Ferrari World Abu Dhabi,theme_park,Yas Island,Yas Island,"World's first Ferrari-branded theme park featuring Formula Rossa — the world's fastest roller coaster",345,"11AM–8PM",1,4.6,"thrill,family,ferrari,rides"
Warner Bros. World Abu Dhabi,theme_park,Yas Island,Yas Island,"Immersive indoor theme park featuring DC Comics and Looney Tunes characters across 6 themed lands",330,"10AM–8PM",1,4.6,"family,indoor,dc,looney-tunes"
Yas Waterworld,water_park,Yas Island,Yas Island,"Arabia's largest water park with 43 rides, slides, and attractions including the Slalom Racer",285,"10AM–6PM",1,4.5,"family,water,slides,thrill"
SeaWorld Abu Dhabi,theme_park,Yas Island,Yas Island,"World's first SeaWorld without theatrical orca shows — focus on marine conservation and education",320,"10AM–8PM",1,4.6,"marine,family,education,animals"
Qasr Al Watan,palace,Corniche Area,Corniche Area,"Majestic Presidential Palace open to public — showcasing UAE governance heritage and architecture",60,"10AM–8PM",1,4.7,"palace,heritage,architecture,emirati"
Emirates Palace,hotel,Corniche Road,Corniche Area,"Iconic ultra-luxury hotel — symbol of Abu Dhabi opulence with gold-leaf architecture and private beach",0,"Open for dining and tours",1,4.8,"luxury,iconic,hotel,gold"
Corniche Beach,beach,Corniche Road,Corniche Area,"8km pristine waterfront beach stretching along Abu Dhabi's stunning bay — free public access",0,"24 Hours",1,4.5,"beach,free,family,walking"
Mangrove National Park,nature,Eastern Mangroves,Eastern Abu Dhabi,"Protected mangrove ecosystem — kayak tours available, rare bird species, unique urban nature reserve",0,"Sunrise–Sunset",1,4.4,"nature,kayaking,wildlife,green"
Observation Deck at 300,viewpoint,Etihad Towers,Corniche Area,"Breathtaking 360-degree panoramic views of Abu Dhabi from the 74th floor of Etihad Towers",75,"10AM–10PM",1,4.4,"views,photography,skyline,iconic"
Heritage Village,cultural,Breakwater,Corniche Area,"Open-air museum showcasing traditional Emirati way of life — falconry, pottery, and pearl diving displays",0,"9AM–4PM (Closed Sat morning)",1,4.2,"free,culture,history,traditional"
Saadiyat Cultural District,cultural,Saadiyat Island,Saadiyat Island,"Emerging world-class cultural hub — home to Louvre AD, future Guggenheim, and Zayed National Museum",0,"Various hours per venue",1,4.5,"culture,arts,future,world-class"
Jubail Mangrove Park,nature,Jubail Island,Eastern Abu Dhabi,"Peaceful 2.5km boardwalk through pristine mangrove forest — flamingos and herons regularly spotted",0,"8AM–8PM",1,4.6,"nature,free,family,peaceful"
Yas Marina Circuit,sports,Yas Island,Yas Island,"Home of the Abu Dhabi Formula 1 Grand Prix — track drives, karting, and pit lane tours available",150,"Tours available daily",1,4.5,"f1,sport,racing,iconic"
The Galleria Al Maryah Island,shopping,Al Maryah Island,Al Maryah Island,"Abu Dhabi's premier luxury shopping destination with 400+ stores, fine dining, and waterfront promenade",0,"10AM–10PM (Fri–Sat 10AM–Midnight)",1,4.5,"shopping,luxury,dining,family"
Yas Mall,shopping,Yas Island,Yas Island,"Abu Dhabi's largest mall — 400+ stores, entertainment attractions, and food court with sea views",0,"10AM–10PM (Thu–Sat 10AM–Midnight)",1,4.4,"shopping,family,cinema,dining"
Abu Dhabi Desert Safari,adventure,Al Ain Road Desert,Outskirts,"Classic Arabian desert experience — dune bashing, camel riding, henna, and traditional BBQ dinner",250,"3PM–10PM",1,4.6,"adventure,desert,cultural,bbq"
Yas Beach,beach,Yas Island,Yas Island,"Pristine private beach club with white sand, water sports, beach loungers, and beachside dining",0,"9AM–Sunset",1,4.3,"beach,sports,family,dining"
Abu Dhabi Golf Club,sport,Sas Al Nakhl Island,Abu Dhabi,"Championship golf course hosting annual HSBC Abu Dhabi Golf Championship — stunning coastal views",400,"Dawn–Dusk",0,4.5,"golf,sport,luxury,championship"
